PKNC_1,PKNC_2,PKNC_3,PKNC_4,PKNC_5,PKNC_6,PKNC_7,PKNC_8,PKNC_9,PKNC_10,PKNC_11,PKNC_12,PKNC_13,PKNC_14,PKNC_15,PKNC_16,PKNC_17,PKNC_18,PKNC_19,PKNC_20,PKNC_21
0,0.09748715,0,0.03249572,0.03249572,0,0,0.12998287,0.06499144,0.03249572,0.03249572,0,0,0.03249572,0.09748715,0.03249572,0.07205424,0.09822313,0.0822039,0.07826115,0.08433466
0.05688864,0.02844432,0.05688864,0,0,0.02844432,0.02844432,0.05688864,0.05688864,0.02844432,0.02844432,0,0,0.05688864,0,0.08533296,0.08610949,0.11476999,0.09230691,0.08396324,0.11085261
0,0.0983211,0,0,0.0327737,0.0327737,0,0.1638685,0.0327737,0.0327737,0,0,0.0327737,0.0655474,0.0655474,0.0327737,0.08388193,0.09369646,0.0667151,0.07082041,0.09495951
0.02838168,0.02838168,0,0.02838168,0.02838168,0.02838168,0.02838168,0.02838168,0.05676336,0,0.05676336,0.02838168,0,0.05676336,0.05676336,0.05676336,0.07388174,0.11333718,0.12307478,0.10462428,0.07421178
0,0,0.02883767,0.05767533,0.02883767,0.02883767,0.02883767,0.05767533,0.02883767,0.02883767,0.02883767,0.02883767,0,0.086513,0.02883767,0.05767533,0.07718692,0.10764515,0.10772569,0.10123652,0.08712775
0,0.06431616,0,0.03215808,0.03215808,0.03215808,0,0.12863232,0.03215808,0.03215808,0,0,0.03215808,0.09647424,0.06431616,0.03215808,0.08513761,0.09764007,0.06403847,0.07734465,0.09699375
0.03045086,0.03045086,0.03045086,0,0.03045086,0.03045086,0,0.09135258,0,0.03045086,0,0.06090172,0.03045086,0.03045086,0.09135258,0.06090172,0.07000815,0.09115345,0.0877248,0.10536876,0.09762937
0.11622515,0.08716887,0.05811258,0,0.02905629,0,0.02905629,0.02905629,0.11622515,0,0.05811258,0,0,0,0,0,0.0902582,0.10234713,0.06151644,0.09976868,0.12309635
0.1175124,0.0881343,0.0587562,0,0.0293781,0,0.0293781,0,0.1175124,0,0.0587562,0,0,0,0.0293781,0,0.09296792,0.10034656,0.06177122,0.09968884,0.11641968
0.02838885,0,0.02838885,0.02838885,0.02838885,0.02838885,0.02838885,0.05677769,0.02838885,0.05677769,0,0.02838885,0.02838885,0.05677769,0.02838885,0.05677769,0.07311284,0.10788939,0.11934189,0.09384992,0.09480672
0.02827783,0.02827783,0,0.02827783,0.02827783,0.02827783,0,0.05655567,0.02827783,0.02827783,0.02827783,0.02827783,0,0.05655567,0.05655567,0.0848335,0.07228586,0.116078,0.1086189,0.10582571,0.08819054
0,0.03046917,0.03046917,0.06093834,0.06093834,0,0.03046917,0.03046917,0.03046917,0.06093834,0,0.03046917,0.03046917,0.06093834,0.06093834,0.03046917,0.08283621,0.09031615,0.09573754,0.0896977,0.09296734
0,0.02993885,0.02993885,0.05987769,0.05987769,0,0.02993885,0.05987769,0.02993885,0.08981654,0,0,0.02993885,0.02993885,0.05987769,0.02993885,0.08937648,0.09481723,0.07745962,0.10639614,0.09305129
0.02958974,0.02958974,0.02958974,0,0.02958974,0.02958974,0,0.08876922,0,0.05917948,0,0.05917948,0.02958974,0.02958974,0.05917948,0.05917948,0.07156182,0.09430738,0.0920999,0.10828266,0.10113294
0.03190224,0.09570671,0,0.03190224,0.03190224,0,0,0.09570671,0.09570671,0.03190224,0.03190224,0,0,0.03190224,0.09570671,0,0.07920952,0.10307828,0.08954358,0.06979817,0.08413018
0.05973013,0.05973013,0.08959519,0,0.05973013,0.05973013,0,0.05973013,0.02986506,0.02986506,0.02986506,0,0.02986506,0.02986506,0,0,0.07584479,0.09391153,0.07289539,0.10652354,0.11325361
